año	titulo	total
1965	Ingeniero Electrónico	8
1965	Ingeniero en Armas	6
1965	Ingeniero Industrial	5
1965	Licenciado en Oceanografía	8
1966	Ingeniero Electrónico	12
1966	Ingeniero en Armas	2
1966	Ingeniero Industrial	8
1966	Ingeniero Metalúrgico	2
1966	Licenciado en Oceanografía	1
1967	Ingeniero Electrónico	7
1967	Ingeniero Industrial	7
1967	Ingeniero Metalúrgico	2
1968	Ingeniero Electrónico	19
1968	Ingeniero en Armas	1
1968	Ingeniero Industrial	15
1968	Ingeniero Metalúrgico	3
1968	Licenciado en Hidrografía	1
1969	Ingeniero Electrónico	13
1969	Ingeniero Industrial	24
1970	Ingeniero Electrónico	17
1970	Ingeniero en Armas	1
1970	Ingeniero Industrial	21
1970	Licenciado en Hidrografía	1
1970	Licenciado en Oceanografía	3
1971	Ingeniero Electrónico	5
1971	Ingeniero Industrial	24
1971	Licenciado en Oceanografía	3
1972	Ingeniero Electrónico	2
1972	Ingeniero Industrial	23
1972	Licenciado en Hidrografía	2
1972	Licenciado en Oceanografía	3
1973	Ingeniero Electrónico	9
1973	Ingeniero Industrial	16
1973	Licenciado en Hidrografía	1
1973	Licenciado en Oceanografía	1
1974	Ingeniero Electrónico	5
1974	Ingeniero en Armas	1
1974	Ingeniero Industrial	32
1974	Licenciado en Hidrografía	3
1974	Licenciado en Oceanografía	6
1975	Ingeniero Electrónico	5
1975	Ingeniero Industrial	23
1975	Licenciado en Hidrografía	1
1975	Licenciado en Oceanografía	4
1976	Ingeniero Eléctrico	1
1976	Ingeniero Electrónico	19
1976	Ingeniero en Armas	1
1976	Ingeniero Industrial	25
1976	Ingeniero Mecánico	7
1976	Ingeniero Naval	1
1976	Licenciado en Hidrografía	1
1976	Licenciado en Oceanografía	1
1977	Ingeniero Eléctrico	1
1977	Ingeniero Electrónico	11
1977	Ingeniero en Armas	3
1977	Ingeniero Industrial	20
1977	Ingeniero Mecánico	2
1977	Ingeniero Naval	8
1977	Ingeniero Químico	2
1978	Ingeniero Eléctrico	3
1978	Ingeniero Electrónico	18
1978	Ingeniero en Armas	4
1978	Ingeniero Industrial	18
1978	Ingeniero Mecánico	4
1978	Ingeniero Naval	3
1978	Ingeniero Químico	3
1978	Licenciado en Ciencias Meteorológicas	1
1978	Licenciado en Hidrografía	2
1978	Licenciado en Oceanografía	8
1979	Ingeniero Eléctrico	3
1979	Ingeniero Electrónico	11
1979	Ingeniero Industrial	24
1979	Ingeniero Mecánico	5
1979	Ingeniero Naval	2
1979	Ingeniero Químico	3
1979	Licenciado en Oceanografía	3
1980	Ingeniero Eléctrico	7
1980	Ingeniero Electrónico	23
1980	Ingeniero Industrial	19
1980	Ingeniero Mecánico	8
1980	Ingeniero Naval	4
1980	Ingeniero Químico	7
1980	Licenciado en Hidrografía	3
1981	Ingeniero Eléctrico	2
1981	Ingeniero Electrónico	13
1981	Ingeniero en Armas	1
1981	Ingeniero Industrial	31
1981	Ingeniero Mecánico	16
1981	Ingeniero Naval	7
1981	Ingeniero Químico	2
1981	Licenciado en Hidrografía	1
1981	Licenciado en Oceanografía	5
1982	Ingeniero Eléctrico	3
1982	Ingeniero Electrónico	12
1982	Ingeniero en Armas	1
1982	Ingeniero Industrial	35
1982	Ingeniero Mecánico	10
1982	Ingeniero Naval	7
1982	Ingeniero Químico	7
1983	Ingeniero Eléctrico	4
1983	Ingeniero Electrónico	19
1983	Ingeniero en Armas	4
1983	Ingeniero Industrial	30
1983	Ingeniero Mecánico	10
1983	Ingeniero Naval	2
1983	Ingeniero Químico	6
1983	Licenciado en Oceanografía	4
1984	Ingeniero Eléctrico	5
1984	Ingeniero Electrónico	11
1984	Ingeniero Industrial	33
1984	Ingeniero Mecánico	8
1984	Ingeniero Naval	3
1984	Ingeniero Químico	7
1984	Licenciado en Oceanografía	7
1985	Ingeniero Eléctrico	1
1985	Ingeniero Electrónico	9
1985	Ingeniero en Armas	1
1985	Ingeniero Industrial	13
1985	Ingeniero Mecánico	9
1985	Ingeniero Naval	8
1985	Ingeniero Químico	4
1985	Licenciado en Oceanografía	6
1986	Ingeniero Electrónico	19
1986	Ingeniero en Armas	1
1986	Ingeniero Industrial	27
1986	Ingeniero Mecánico	6
1986	Ingeniero Naval	1
1986	Ingeniero Químico	3
1986	Licenciado en Análisis de Sistemas	72
1986	Licenciado en Oceanografía	8
1987	Ingeniero Electrónico	13
1987	Ingeniero en Armas	1
1987	Ingeniero Industrial	17
1987	Ingeniero Mecánico	1
1987	Ingeniero Naval	6
1987	Ingeniero Químico	3
1987	Licenciado en Análisis de Sistemas	33
1987	Licenciado en Oceanografía	7
1988	Ingeniero Eléctrico	9
1988	Ingeniero Electrónico	12
